gene_id,gene_symbol
Cre03.g186450,LNM1
Cre03.g186500,HAT2
Cre03.g187050,PHT4C
Cre03.g187200,DLL2
Cre03.g187350,UNI3
Cre03.g187450,RPI1
Cre03.g188200,RPH2
Cre03.g188250,AGP4
Cre03.g188300,RBO1
Cre03.g188400,RBO2
Cre03.g188450,PTX2
Cre03.g188500,VPS46
Cre03.g188650,PLAP2
Cre03.g188700,PLAP6
Cre03.g189000,RAD54A
Cre03.g189050,EAM1
Cre03.g189250,RAB11
Cre03.g189300,PLAP10
Cre03.g189400,TSS2
Cre03.g189550,ZIP3
Cre03.g189750,TIM8
Cre03.g189800,CYN38
Cre03.g189950,HOP1
Cre03.g190100,EIF3B
Cre03.g190150,CGL1
Cre03.g190500,GLC2A
Cre03.g190800,TMPK1
Cre03.g190850,ECH1
Cre03.g190950,TUA1
Cre03.g191050,RAN1
Cre03.g191250,LCI34
Cre03.g191300,LCI35
Cre03.g191950,CGLD31
Cre03.g192000,SEC13L
Cre03.g192050,FTR1
Cre03.g192201,PHC51
Cre03.g192250,PHC69
Cre03.g192550,RAD50
Cre03.g192600,THK1
Cre03.g192900,OPR17
Cre03.g193300,CPLD56
Cre03.g193500,PGD1
Cre03.g193550,MRPL46
Cre03.g193750,GCST1
Cre03.g193800,TSN1
Cre03.g193850,SCLA1
Cre03.g193950,FTRC3
Cre03.g194200,PDH2
Cre03.g194300,NDUFAF6
Cre03.g194400,EIF3I
Cre03.g194450,CGL24
Cre03.g194650,FAP121
Cre03.g194700,AGL1
Cre03.g194850,MDH1
Cre03.g194950,RPOD1
